CSV A Product,CSV B Product,Similarity Score
MAKE OVER 22 - TINT My Lip Cheek and Lips Tint - PINK - My Pulp Pink Lip & Cheek Tint - Make Over 22,MAKE OVER 22 TINT My Lip Cheek and Lips Tint Pink,0.9238
MAKE OVER 22 - TINT My Lip Cheek and Lips Tint - CORALL - My Pulp Coral Lip & Cheek Tint - Make Over 22,MAKE OVER 22 TINT My Lip Cheek and Lips Tint-CORAL,0.9237
MAKE OVER 22 - TINT My Lip Cheek and Lips Tint - RED - My Pulp Red Lip & Cheek Tint - Make Over 22,MAKE OVER 22 TINT My Lip Cheek and Lips Tint Red,0.9231
Make Over 22 - Tint My Lip Check & Lips Coloring Set 4 Color Cover,MAKE OVER 22 TINT My Lip Cheek and Lips Tint Set - 4 Tints,0.8738
MAKE OVER 22 - TINT My Lip Cheek and Lips Tint - ORANGE - My Pulp Orange Lip & Cheek Tint - Make Over 22,MAKE OVER 22 TINT My Lip Cheek and Lips Tint Set - 4 Tints,0.8733
Sheglam Soft Lip Tint No.Think Twice,SHEGLAM Take A Hint Lip Tint Level Up,0.8513
"voloria I'm Tattoo Velvet Tint, 05 - Coral Red",Voloria I'm Tattoo Velvet Tint 5grams,0.8304
"Maybelline New York, Super Stay Teddy Tint Plushwear and Transferproof, Delivers up to 12 hours of Long-lasting Blurred Matte Soft Lip Color, 15 SKINNYDIP",MAYBELLINE NEW YORK Super Stay Teddy Tint Plushwear And Transferproof 15 Skinnydip,0.8286
"Milk Jelly Blush, Blush Stick with Brush,Waterproof Multi Cream Blush Stick Makeup,Lightweight,Long-lasting,2 in 1 Multi Stick Blush for Cheeks & Lip Tint & Eyeshadow Makeup(Orange)","MILK MAKEUP Cooling Water Jelly Tint Lip + Cheek Blush Stain, Blush Stick for Cheeks, Jelly Blush Stick, Longlasting Non-Stick, Paraben-Free, 0.17 oz (Chill)",0.8248
PERIPERA INK MOOD GLOWY TINT 02 CORAL INFLUENCER,"Peripera Ink Mood Glowy Tint | Lip-Plumping, Naturally Moisturizing, Lightweight, Glow-Boosting, Long-Lasting, Comfortable, Non-Sticky, Mask Friendly, No White Film (02 CORAL INFLUENCER)",0.8175
"Maybelline New York, Super Stay Teddy Tint Plushwear and Transferproof, Delivers up to 12 hours of Long-lasting Blurred Matte Soft Lip Color, 25 BABY TEE",MAYBELLINE NEW YORK Super Stay Teddy Tint Plushwear And Transferproof 15 Skinnydip,0.8147
"Milk Jelly Blush, Blush Stick with Brush,Waterproof Multi Cream Blush Stick Makeup,Lightweight,Long-lasting,2 in 1 Multi Stick Blush for Cheeks & Lip Tint & Eyeshadow Makeup(Rose Pink)","MILK MAKEUP Cooling Water Jelly Tint Lip + Cheek Blush Stain, Blush Stick for Cheeks, Jelly Blush Stick, Longlasting Non-Stick, Paraben-Free, 0.17 oz (Chill)",0.8129
Rom&Nd Dewy·Ful Water Tint 03 If Rose,rom&nd Dewy·Ful Water Tint (13 Custard Mauve),0.8079
Rom&Nd Juicy Lasting Tint 06 Figfig,rom&nd Juicy Lasting Matte Tint (13Eat Dotori),0.8018
"Peripera Lip Ink Velvet Tint Soft - Glowing Cosmetics Smooth And Shining, Long Lasting Makeup - Beauty Peak Rose","Peripera Ink Mood Glowy Tint | Lip-Plumping, Naturally Moisturizing, Lightweight, Glow-Boosting, Long-Lasting, Comfortable, Non-Sticky, Mask Friendly, No White Film (02 CORAL INFLUENCER)",0.8012
"Peripera Ink Airy Velvet Lip Tint (0.14 fl oz) | High-Pigmentation, Lightweight, Soft, Moisturizing, Not Animal Tested | (#022 CENTER PEACH)","Peripera Ink The Velvet Lip Tint | High Pigment Color, Longwear, Weightless, Not Animal Tested, Gluten-Free, Paraben-Free (027 Strawberry Nude)",0.7978
"Peripera Ink Airy Velvet Lip Tint (0.14 fl oz) | High-Pigmentation, Lightweight, Soft, Moisturizing, Not Animal Tested | (#025 ZAZZY PEACH)","Peripera Ink The Velvet Lip Tint | High Pigment Color, Longwear, Weightless, Not Animal Tested, Gluten-Free, Paraben-Free (027 Strawberry Nude)",0.7966
"Maybelline New York, Super Stay Teddy Tint Plushwear and Transferproof, Delivers up to 12 hours of Long-lasting Blurred Matte Soft Lip Color, 10 CURRENT MOOD",MAYBELLINE NEW YORK Super Stay Teddy Tint Plushwear And Transferproof 15 Skinnydip,0.7961
"Maybelline New York, Super Stay Teddy Tint Plushwear and Transferproof, Delivers up to 12 hours of Long-lasting Blurred Matte Soft Lip Color, 55 KNEEHIGH",MAYBELLINE NEW YORK Super Stay Teddy Tint Plushwear And Transferproof 15 Skinnydip,0.7953
Essence What A Tint Lip and Cheek Tint,Essence What A Tint Kiss From A Rose,0.7863
"Milk Makeup Cooling Water Jelly Tint, Splash (Berry) - 0.17 oz - Sheer Lip & Cheek Stain - Buildable Watercolor Finish - 1,000+ Swipes Per Stick - Vegan, Cruelty Free","MILK MAKEUP Cooling Water Jelly Tint Lip + Cheek Blush Stain, Blush Stick for Cheeks, Jelly Blush Stick, Longlasting Non-Stick, Paraben-Free, 0.17 oz (Chill)",0.7625
"Yadah Be My Tint Mini 4-In-1 Set, Multicolor",YADAH Be My Tint Long Lasting Color Lip Tint Set,0.7509
